comment,Comment to English,Emoji to text
♥Happy New Year 2023!♥,♥Happy New Year 2023!♥,heart suitHappy New Year 2023!heart suit
🇧🇩🇧🇩 ধন্যবাদ তথ্য ভিত্তিক সুন্দর ও পরিচ্ছন্ন একটি ভিডিও রিপোর্টের জন্য! 🇧🇩🇧🇩,🇧🇩🇧🇩 Thanks for a beautiful and clean video report based on information! 🇧🇩🇧🇩,flag: Bangladeshflag: Bangladesh Thanks for a beautiful and clean video report based on information! flag: Bangladeshflag: Bangladesh
🇧🇩🇧🇩 যেহেতু মেট্রোরেল ব্যাবস্থাটি বাংলাদেশে নূতন। তাই আগারগাঁও ও উত্তরা উভয় দিকেই   টিকিটিং ব্যাবস্থা সম্পর্কে মাইকে প্রয়োজনিয় তথ্য  জানানো উচিৎ! যেমন ফ্যামিলির সকলকে টিকিটের জন্য দাঁড়ানোর প্রয়োজন নেই। বরং যেকোনো একজন গিয়ে পরিবারের পাঁচজনের পর্যন্ত টিকিট সংগ্রহ করতে পারবেন! দুভাবে এটা সংগ্রহ করা যাবে যেমন মেসিনে নিজে নিজে। অথবা ম্যানুয়ালি বুতে গিয়ে দায়িত্বে থাকা লোককে  বলতে হবে আমাকে টিকিট দিন!🇧🇩🇧🇩,"🇧🇩🇧🇩 Since the Metrorail system is new in Bangladesh. So Agargaon and Uttara should tell Mike about the ticketing system on both sides! For example, not everyone in the family needs to stand for a ticket. Rather, one can go to any one of the family's five tickets! It can be collected in two ways, such as in Messin itself. Or the man in charge of the man in manually give me a ticket! 🇧🇩🇧🇩","flag: Bangladeshflag: Bangladesh Since the Metrorail system is new in Bangladesh. So Agargaon and Uttara should tell Mike about the ticketing system on both sides! For example, not everyone in the family needs to stand for a ticket. Rather, one can go to any one of the family's five tickets! It can be collected in two ways, such as in Messin itself. Or the man in charge of the man in manually give me a ticket! flag: Bangladeshflag: Bangladesh"
🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩👍👍👍👍👍🤲🤲🤲,🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩👍👍👍👍👍🤲🤲🤲,flag: Bangladeshflag: Bangladeshflag: Bangladeshflag: Bangladeshflag: Bangladeshthumbs upthumbs upthumbs upthumbs upthumbs uppalms up togetherpalms up togetherpalms up together
🇧🇩✌️,🇧🇩✌️,flag: Bangladeshvictory hand
🇧🇩❤️,🇧🇩❤️,flag: Bangladeshred heart
🇧🇩💖💗,🇧🇩💖💗,flag: Bangladeshsparkling heartgrowing heart
🇧🇩💗,🇧🇩💗,flag: Bangladeshgrowing heart
🇧🇩জয়বাংলা🇧🇩,Joybangla,Joybangla
🇮🇳1984Calcutta Metro started now Bangladesh has started it felt good,🇮🇳1984Calcutta Metro started now Bangladesh has started it felt good,flag: India1984Calcutta Metro started now Bangladesh has started it felt good
🇰🇷থেকে দেখছি 🇧🇩দেশের এই ধরনের স্টেশন এবং ট্রেন দেখে খুব ভালো লাগলো,It was nice to see this kind of station and train in the country,It was nice to see this kind of station and train in the country
🇲🇾❤🇧🇩,🇲🇾❤🇧🇩,flag: Malaysiared heartflag: Bangladesh
✌✌,✌✌,victory handvictory hand
❤,❤,red heart
❤,❤,red heart
❤,❤,red heart
❤,❤,red heart
❤ history of Bangladesh,❤ history of Bangladesh,red heart history of Bangladesh
❤ Love to both of you. You guys are excellent.,❤ Love to both of you. You guys are excellent.,red heart Love to both of you. You guys are excellent.
❤ Love to both of you. You guys are excellent.,❤ Love to both of you. You guys are excellent.,red heart Love to both of you. You guys are excellent.
❤️🇧🇩🇩🇪,❤️🇧🇩🇩🇪,red heartflag: Bangladeshflag: Germany
❤🇧🇩🤲🇧🇩 মাশাআল্লাহ,🇧🇩🤲🇧🇩 Masha Allah,flag: Bangladeshpalms up togetherflag: Bangladesh Masha Allah
❤❤,❤❤,red heartred heart
❤❤❤,❤❤❤,red heartred heartred heart
❤❤❤ Hat's offf  Hasina,🙏 h Hat's offf Hasina,folded hands h Hat's offf Hasina
❤❤❤❤,❤❤❤❤,red heartred heartred heartred heart
❤❤❤❤❤,❤❤❤❤❤,red heartred heartred heartred heartred heart
❤❤❤❤❤,❤❤❤❤❤,red heartred heartred heartred heartred heart
❤❤❤❤❤,❤❤❤❤❤,red heartred heartred heartred heartred heart
❤❤❤❤❤,❤❤❤❤❤,red heartred heartred heartred heartred heart
❤❤❤❤❤❤,❤❤❤❤❤❤,red heartred heartred heartred heartred heartred heart
❤❤❤❤❤❤❤❤❤❤,❤❤❤❤❤❤❤❤❤❤,red heartred heartred heartred heartred heartred heartred heartred heartred heartred heart
❤❤❤❤🎉🎉🎉🎉,❤❤❤❤🎉🎉🎉🎉,red heartred heartred heartred heartparty popperparty popperparty popperparty popper
❤❤🤍🤍🖤🖤,❤❤🤍🤍🖤🖤,red heartred heartwhite heartwhite heartblack heartblack heart
❤❤হাজারীবাগ লালবাগ মোহাম্মদপুর এলাকার মেট্ররেইল কবে কাজ চালু হবে। একটি ভিডিও চাই?❤❤❤❤❤,When the Metrorail of Lalbagh Mohammadpur area will be launched in Ahazaribagh. Want a video?,When the Metrorail of Lalbagh Mohammadpur area will be launched in Ahazaribagh. Want a video?
❤🎉,❤🎉,red heartparty popper
❤🔥,❤🔥,red heartfire
❤️‍🔥❤️‍🔥.,❤️‍🔥❤️‍🔥.,heart on fireheart on fire.
❤fan দিলে ভালোহয়,It is good,It is good
❤টি এস সি আগে খুলে দিলে ভালোহয় ❤❤,It is good to open the SC first,It is good to open the SC first
❤পূরানঢাকার মেট্রোরেইল আগে চালুকরলে ভালোহয় ❤,The Metrorail of the Pujalanaka is good to operate before,The Metrorail of the Pujalanaka is good to operate before
❤মতিঝিল যাওয়ার জন্য অপেক্ষা আছি❤,I am waiting to go to Emtijheel,I am waiting to go to Emtijheel
❤সত্যিই অসাধারণ। ধন্যবাদ,It is extraordinary. Thank you,It is extraordinary. Thank you
🌳 Gatch onek ke te fel ta hobe ✂️,🌳 gatch onek ke te fel ta hobe ✂,deciduous tree gatch onek ke te fel ta hobe scissors
🍎🍎😇 সুস্থ্য থাকার প্রথম শর্ত হচ্ছে নিজেকে সুস্থ্য রাখার মানসিকতা গড়ে তোলা 🤔,🍎🍎😇 The first condition to stay healthy is to develop the mentality of keeping yourself healthy.,red applered applesmiling face with halo The first condition to stay healthy is to develop the mentality of keeping yourself healthy.
🎉🎉🎉🎉🎉,🎉🎉🎉🎉🎉,party popperparty popperparty popperparty popperparty popper
🎉🎉🎉🎉🎉🎉❤❤❤❤❤,🎉🎉🎉🎉🎉🎉❤❤❤❤❤,party popperparty popperparty popperparty popperparty popperparty popperred heartred heartred heartred heartred heart
👌👌👌👌👌👌👌👌👌👌👌👌👌👌,👌👌👌👌👌👌👌👌👌👌👌👌👌👌,OK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK hand
👍👍🇧🇩,👍👍🇧🇩,thumbs upthumbs upflag: Bangladesh
👍😊,👍😊,thumbs upsmiling face with smiling eyes
💚❤️,💚❤️,green heartred heart
💚❤️!,💚❤️!,green heartred heart!
🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,woman facepalming: medium-light skin tonewoman facepalming: medium-light skin tonewoman facepalming: medium-light skin tone
🤨,🤨,face with raised eyebrow
🤩🤩,🤩🤩,star-struckstar-struck
🥰🥰,🥰🥰,smiling face with heartssmiling face with hearts
🥰🥰🥰🥰🥰,🥰🥰🥰🥰🥰,smiling face with heartssmiling face with heartssmiling face with heartssmiling face with heartssmiling face with hearts
🥰🥰🥰🥰🥰,🥰🥰🥰🥰🥰,smiling face with heartssmiling face with heartssmiling face with heartssmiling face with heartssmiling face with hearts
😂😂😂,😂😂😂,face with tears of joyface with tears of joyface with tears of joy
😂😂😂,😂😂😂,face with tears of joyface with tears of joyface with tears of joy
😂😂😂😂😂পৃথিবির বোকে একটা মাএ মেট্রুরেল সেটাও আবার বাংলা দেশে 😂😂😂😂।,A Maa Metrorail in the Earth Bowk is again in Bangla country.,A Maa Metrorail in the Earth Bowk is again in Bangla country.
😍😍😍,😍😍😍,smiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyes
🙏🙏🙏🇹🇭🇹🇭,🙏🙏🙏🇹🇭🇹🇭,folded handsfolded handsfolded handsflag: Thailandflag: Thailand
03:57 দুই কক্কুর চুলের কালার তো অসাধারণ আমি বলতে কে কে খেল করছেন।,03:57 The color of the hair of the two kakkur is wonderful I am playing who is playing.,03:57 The color of the hair of the two kakkur is wonderful I am playing who is playing.
03:57 দুই কক্কুর চুলের কালার তো অসাধারণ আমি বলতে কে কে খেল করছেন।,03:57 The color of the hair of the two kakkur is wonderful I am playing who is playing.,03:57 The color of the hair of the two kakkur is wonderful I am playing who is playing.
1 tahun 2 tahun keretanya akan jadi seperti sampah,1 year 2 years of car will be like trash,1 year 2 years of car will be like trash
১ মেট্রোরেল ১ প্রধানমন্ত্রী  ১৪ বার উদ্বোধন,1 Metrorail 3 Prime Minister 3 times inaugurate,1 Metrorail 3 Prime Minister 3 times inaugurate
10 replies,10 replies,10 replies
10 ta kora uchit privet sector 8 tai bondho hoi tahole sei jatrira subidha peto.,10 Ta Kora Uchit Privet Sector 8 Tai Bondho Hoi Hoi Tahole Sei Jatrira Subidha Peto.,10 Ta Kora Uchit Privet Sector 8 Tai Bondho Hoi Hoi Tahole Sei Jatrira Subidha Peto.
১০ মিনিট এর যাত্রার জন্য প্রতিদিন ৪০ মিনিট দাড়ায়া থাকতে হয়।,You have to stay 5 minutes every day for 5 minutes.,You have to stay 5 minutes every day for 5 minutes.
10 মিনিট পর পর ট্রেন আছে এখানে আবার এসেছি দরকার,10 minutes after the train is here to come back here again,10 minutes after the train is here to come back here again
১০/১২ বিলিয়ন খরচ হবে নাকি গাইস?🤣,It will cost 1/12 billion or gice? 🤣,It will cost 1/12 billion or gice? rolling on the floor laughing
১০০ বছর লাগবে 😂,It will take 3 years,It will take 3 years
1000 taka Street Haircut In Dhaka:,1000 taka Street Haircut In Dhaka:,1000 taka Street Haircut In Dhaka:
10年ほど前、私たちの会社にバングラディシュからインターンシップに来られた学生がいました。非常に頭の良い人だったと印象に残っています。,"About 10 years ago, there was a student in our company who came to the internship from Bangladish. I am impressed that he was a very smart person.","About 10 years ago, there was a student in our company who came to the internship from Bangladish. I am impressed that he was a very smart person."
১৬ কোটির দেশে এই টাইপের মেট্রোরেল পুকুরের ভিতর থেকে ১ বালতি পানি অপসারন মাত্র।,"In the country of 1 crore, the bucket of water is just removed from the Metrorail pond of this type.","In the country of 1 crore, the bucket of water is just removed from the Metrorail pond of this type."
16hours kora uchit,16hours kora uchit,16hours kora uchit
1ST FALL IN LOVE  METRO RAIL >REST HISTORY GOING ON,1ST FALL IN LOVE  METRO RAIL >REST HISTORY GOING ON,1ST FALL IN LOVE  METRO RAIL >REST HISTORY GOING ON
২ ফোটা জ্যামও তো কমলো না,2 drops jam too,2 drops jam too
2:17 মেট্রোরেল নাকি ১০০০ টাকার নোট রিডিং করতে পারে না!!! তাহলে টিকিট কীভাবে দিল???,2:17 Metrorail or can't read 5 rupee notes !!! So how did you give the ticket ???,2:17 Metrorail or can't read 5 rupee notes !!! So how did you give the ticket ???
20 replies,20 replies,20 replies
20 tk diya jototuk jawa jay toto tuk ki jete parbo ekhon,20 tk diya jototuk jawa jay to tuk tuk ki jte parbo ekhon,20 tk diya jototuk jawa jay to tuk tuk ki jte parbo ekhon
২০ বিশ কিলোমিটার রাস্তায় 14 টা স্টেশন। হাস্যকর,Twenty -two kilometers on the street 14 stations. Ridiculous,Twenty -two kilometers on the street 14 stations. Ridiculous
2024 toh chaina japan loan er interest newa suru korbe. Resurb sunno. Dollar rat high. Takar obomullaon. Er theke vhalo chilo shikha chikissa chakri bazar barano. Durniti jekhane kora jabe se khane goriber taka sradho. Remitance jodha der taka dea kora,2024 toh chaina japan loan erant newa suru korbe. Resurb sunno. Dollar Rat High. Takar Obomullaon. Er Theke Vhaloo Chilo Shikha Chikissa Chakri Bazar Barano. Durniti jekhane kora jabe se khane goriber taka sradho. Remitance Jodha deer taka dea kora,2024 toh chaina japan loan erant newa suru korbe. Resurb sunno. Dollar Rat High. Takar Obomullaon. Er Theke Vhaloo Chilo Shikha Chikissa Chakri Bazar Barano. Durniti jekhane kora jabe se khane goriber taka sradho. Remitance Jodha deer taka dea kora
2030 mane 2036 hobe r ki  ei deshe .,2030 Mane 2036 hobe r ki ei deshe.,2030 Mane 2036 hobe r ki ei deshe.
2030 mane 2036 hobe r ki  ei deshe .,2030 Mane 2036 hobe r ki ei deshe.,2030 Mane 2036 hobe r ki ei deshe.
২০৩৫ সালেও শেষ হবে না কাজ 😂,Work will not be completed in 20,Work will not be completed in 20
2040 er moddhe Dhaka k modern city te dekhe jete chay,2040 er moddhe dhaka k modern city te dekhe jte chay,2040 er moddhe dhaka k modern city te dekhe jte chay
2045  saleo kaj  shas koira  banijjek  Rell  cholate parbena,2045 Saleo Kaj Shas Koira Banijjek Rel Cholate Parbena,2045 Saleo Kaj Shas Koira Banijjek Rel Cholate Parbena
21 replies,21 replies,21 replies
22 hours ago,22 hours ago,22 hours ago
23 replies,23 replies,23 replies
২৪ ঘন্টা চালো কারা উচিত ছিল,Who should have been 24 hours to run,Who should have been 24 hours to run
৩০০ ফিট সায়দাবাদ হতে বাঞ্ছারামপুর মুরাদনগর একটা পাবলিক ট্রন্সপোর্ট  লাইন নাই😢😢😢।💔,1 Ft Saidabad from Bancharampur Muradnagar is not a public transport line.,1 Ft Saidabad from Bancharampur Muradnagar is not a public transport line.
300ft abrr vangga hobe aytai vabtesii ..,300ft abrr vangga hobe aytai vabtesii ..,300ft abrr vangga hobe aytai vabtesii ..
3d class gate এরকম gate থাকলে সব সময়ে security লাগবে,If there is a gate of 3D class gate it will always take security,If there is a gate of 3D class gate it will always take security
4.13 wht the hell was that??🤣😂🤣,4.13 wht the hell was that??🤣😂🤣,4.13 wht the hell was that??rolling on the floor laughingface with tears of joyrolling on the floor laughing
"5:25 This looks like ""Shinkansen"" means bullet train platform in Japan 😗 6:49 same to same 👌👌","5:25 This looks like ""Shinkansen"" means bullet train platform in Japan 😗 6:49 same to same 👌👌","5:25 This looks like ""Shinkansen"" means bullet train platform in Japan kissing face 6:49 same to same OK handOK hand"
৫০ লাখে শূন্য কয়টা লাগে জানেনতো..!!!,You know how much it takes to zero .. !!!,You know how much it takes to zero .. !!!
৫৩ হাজার কোটি টাকা থেকে বাজেট বেড়ে ১ লাখ কোটি টাকা যাবে হে এই টায় আমাদের দেশ আফসোস 😔😔,"The budget will increase from Tk 1,000 crore to Tk 1 lakh crore. Our country is sorry.","The budget will increase from Tk 1,000 crore to Tk 1 lakh crore. Our country is sorry."
57 replies,57 replies,57 replies
6 month matro ato tuku kaj korese. 3 bosorer modhe kivabe puro kaj complete korbe?. Totally impossible. Haire Durniti.,6 months matro ato tuku kaj korese. 3 Bosorer modhe kivabe puro kaj complete korbe?. Totally impossible. Haire durniti.,6 months matro ato tuku kaj korese. 3 Bosorer modhe kivabe puro kaj complete korbe?. Totally impossible. Haire durniti.
৬মাস পর এস্ক্রাব হয় যবে। বিমান বন্দর এর পুর্ব পাশ্বে ওভার ব্রজ এর লিপটা জনগনের জন্য ছিলো। কিন্তু সেটা আজ অকেজো হয়ে পড়ে আছে।  বাংলাদেশের রেলওয়ে  স্টে শান  গুলা আধুনিক করা হয়েছিলো। কিন্তু তার কি অবস্থা সেটা সবার জানা।,"After 6 months, the ascrub will be. The lip of over Braj was for the public on the eastern side of the airport. But today it is unclear. Shan Gula was modernized in Bangladesh Railway Station. But everyone knows what his condition is.","After 6 months, the ascrub will be. The lip of over Braj was for the public on the eastern side of the airport. But today it is unclear. Shan Gula was modernized in Bangladesh Railway Station. But everyone knows what his condition is."
7:04 😂😂😂😂😂😂😂😂😂,7:04 😂😂😂😂😂😂😂😂😂,7:04 face with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joy
70 মিটার 😮,70 meters 😮,70 meters face with open mouth
৭৮৬/ অনেক ধন্যবাদ বাংলাদেশ 🇧🇩 সরকার কে বাংলাদেশ জিন্দাবাদ।👍 হবিগঞ্জ জিন্দাবাদ 🇧🇩👍🇸🇦,1/ Many thanks to Bangladesh 1 Sarkar Bangladesh Zindabad.,1/ Many thanks to Bangladesh 1 Sarkar Bangladesh Zindabad.
8:37 Hey - give the rickshaw and CNG drivers some love too!,8:37 Hey - give the rickshaw and CNG drivers some love too!,8:37 Hey - give the rickshaw and CNG drivers some love too!
A beautifully built japanese system but I see the Bangladeshi influence has started. Pretty soon the station manager will allow hawkers to ply their trade on the platform. People will start spitting paan on the platform,A beautifully built japanese system but I see the Bangladeshi influence has started. Pretty soon the station manager will allow hawkers to ply their trade on the platform. People will start spitting paan on the platform,A beautifully built japanese system but I see the Bangladeshi influence has started. Pretty soon the station manager will allow hawkers to ply their trade on the platform. People will start spitting paan on the platform
A very nice experience of Dhaka city new metro from you. It can be said that a new feather has been added to the city. Which will definately changed the picture of city life.,A very nice experience of Dhaka city new metro from you. It can be said that a new feather has been added to the city. Which will definately changed the picture of city life.,A very nice experience of Dhaka city new metro from you. It can be said that a new feather has been added to the city. Which will definately changed the picture of city life.
Abar jabo komolapur to uttara 🎉🎉🎉,Abar jabo komolapur to uttara 🎉🎉🎉,Abar jabo komolapur to uttara party popperparty popperparty popper
After watching your videos I can sense that you guys have good hearts. Thanks for visiting our country.,After watching your videos I can sense that you guys have good hearts. Thanks for visiting our country.,After watching your videos I can sense that you guys have good hearts. Thanks for visiting our country.
Agargaon last station tahole?,Agargaon Last Station Tahole?,Agargaon Last Station Tahole?
Agargaon toilet situation is very poor and Boishakhi is also charging obviously too much without repairing it,Agargaon toilet situation is very poor and Boishakhi is also charging obviously too much without repairing it,Agargaon toilet situation is very poor and Boishakhi is also charging obviously too much without repairing it
Agiye jak bangladesh,Agiye Jak Bangladesh,Agiye Jak Bangladesh
Agiye jak bangladesh,Agiye Jak Bangladesh,Agiye Jak Bangladesh
Ai metro r acceleration ebong acceleration sound ta onek ta amader india r EMU r moto,Ai Metro R Acceleration Ebong Acceleration Sound Ta Onek Ta Amader India R Emu R Moto,Ai Metro R Acceleration Ebong Acceleration Sound Ta Onek Ta Amader India R Emu R Moto
Akta gario lane menay chalay na. Rastar daitto ama k de. Dek kivabe pith er chal tuli traffic law breaker der,Akta Gario Lane Menay Chalay Na. Rastar daitto ama k de. Dek kivabe pith er chal tuli traffic law breaker der,Akta Gario Lane Menay Chalay Na. Rastar daitto ama k de. Dek kivabe pith er chal tuli traffic law breaker der
Alhamdolilallah masaallah insaallah January 2nd wk we plan to stay dhaka to ride metro rail. We love Bangladesh Tourism we promote our Bangladesh 🇧🇩 ❤️ Bangladesh. Mohiuddin afzal journalist London director uk news bangla media London Working for community healthy lifestyle campaign anti smoking Campaign also social Work for community,Alhamdolilallah masaallah insaallah January 2nd wk we plan to stay dhaka to ride metro rail. We love Bangladesh Tourism we promote our Bangladesh 🇧🇩 ❤️ Bangladesh. Mohiuddin afzal journalist London director uk news bangla media London Working for community healthy lifestyle campaign anti smoking Campaign also social Work for community,Alhamdolilallah masaallah insaallah January 2nd wk we plan to stay dhaka to ride metro rail. We love Bangladesh Tourism we promote our Bangladesh flag: Bangladesh red heart Bangladesh. Mohiuddin afzal journalist London director uk news bangla media London Working for community healthy lifestyle campaign anti smoking Campaign also social Work for community
Alhamdulillah,Thank God,Thank God
Alhamdulillah masaallah alhamdulillah Jajakalla Khairan shaikh Hasina government,Alhamdulilah Massaallah Alhamdulilah Jajakalla Khairan Shaikh Hasina Goovernment,Alhamdulilah Massaallah Alhamdulilah Jajakalla Khairan Shaikh Hasina Goovernment
Alhamdulillah. Mohan Allah Pak unar nikot Shukria R Prodhanmontri Sheikh Hasina keo Dhonnobad.,Alhamdulillah. Mohan allah pak unar nikot shukria r prodhanmontri sheikh hasina keo dhonnobad.,Alhamdulillah. Mohan allah pak unar nikot shukria r prodhanmontri sheikh hasina keo dhonnobad.
Alhamdulillah... Thank You PM Sheikh Hasina....Please destroy the Business sindicate of Daily Foods also,Alhamdulillah... Thank You PM Sheikh Hasina....Please destroy the Business sindicate of Daily Foods also,Alhamdulillah... Thank You PM Sheikh Hasina....Please destroy the Business sindicate of Daily Foods also
Alhamdullah khub sundor hobe,Alhamdullah khub sundor hobe,Alhamdullah khub sundor hobe
Alhamdullilah,Alhamdullilah,Alhamdullilah
Alhumdulillaah,Alhumdulilaah,Alhumdulilaah
Alhumdulillah,Alhumdulilah,Alhumdulilah
All credit Our PM sheikh hasina,All credit Our PM sheikh hasina,All credit Our PM sheikh hasina
All the best 👍,All the best 👍,All the best thumbs up
All the best Bangladesh wishes from india,All the best Bangladesh wishes from india,All the best Bangladesh wishes from india
All the old bus stations & including Kamalapur railway station must be demolished & built outskirts of the city to reduce traffic congestion. Every cities in developed world its bus stations built outside the city,All the old bus stations & including Kamalapur railway station must be demolished & built outskirts of the city to reduce traffic congestion. Every cities in developed world its bus stations built outside the city,All the old bus stations & including Kamalapur railway station must be demolished & built outskirts of the city to reduce traffic congestion. Every cities in developed world its bus stations built outside the city
Allah o Akbar ...must be written on the train...,Allah o Akbar ...must be written on the train...,Allah o Akbar ...must be written on the train...
Allahamdulliah ✌️,Allegululliah ✌️,Allegululliah victory hand
Allahr Kase onk sukriya,Allahr kase onk sukriya,Allahr kase onk sukriya
Although I am a little concerned about the crowd taking the metro. In India the metro isn’t this crowded anywhere.,Although I am a little concerned about the crowd taking the metro. In India the metro isn’t this crowded anywhere.,Although I am a little concerned about the crowd taking the metro. In India the metro isn’t this crowded anywhere.
Always welcome to Bangladesh. We love India and Indians. This is how we would like to express our invite.,Always welcome to Bangladesh. We love India and Indians. This is how we would like to express our invite.,Always welcome to Bangladesh. We love India and Indians. This is how we would like to express our invite.
Amadr k metroraile Dewar jnno,Amadr k metroraile dewar jnno,Amadr k metroraile dewar jnno
Amar Chokh,Amar chokh,Amar chokh
Amar Chokh,Amar chokh,Amar chokh
Amar kisu problem solve hoise 😊😊😊,Amar kisu problem solve hoise 😊😊😊,Amar kisu problem solve hoise smiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes
Amazing people amazing country 🇦🇷💙🇧🇩,Amazing people amazing country 🇦🇷💙🇧🇩,Amazing people amazing country flag: Argentinablue heartflag: Bangladesh
Amazing that it has happened in our country.,Amazing that it has happened in our country.,Amazing that it has happened in our country.
Americar moto 1monther or 1weeker card korbay  jatay reguler  card kattay na hoy.,Americar Moto 1monther or 1weeker card korbay jatay reguler card kattay na hoy.,Americar Moto 1monther or 1weeker card korbay jatay reguler card kattay na hoy.
Ami kolkatai corechi,Ami kolkatai corechi,Ami kolkatai corechi
And dhaka city r vitore kono dur pallar bus dhuka shompurno nished kore deoa uchit,And dhaka city r Vitore kono dur pallar Bus dhuka shompurno nished kore deoa uchit,And dhaka city r Vitore kono dur pallar Bus dhuka shompurno nished kore deoa uchit
and thank you very much for make video dhaka metro 🚇 🙏,and thank you very much for make video dhaka metro 🚇 🙏,and thank you very much for make video dhaka metro metro folded hands
And then 3 more. If things go according to plan,And then 3 more. If things go according to plan,And then 3 more. If things go according to plan
And very strong security system.,And very strong security system.,And very strong security system.
Apnader picnic sesh hoile boilen,Apnader picnic sesh hoile boilen,Apnader picnic sesh hoile boilen
Apnar onk kotha bolen,Apnar onk kotha bolen,Apnar onk kotha bolen
apni khobor bolchen naki voy dekhaccen😂😂😂,apni khobor bolchen naki voy dekhaccen😂😂😂,apni khobor bolchen naki voy dekhaccenface with tears of joyface with tears of joyface with tears of joy
