comment,Comment to English,Emoji to text,prediction,max_sentiment_label,max_sentiment_value
”আমরা করব জয়,"""We will win","""We will win","{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.5859}",pos,0.655
（What a great anniversary! !）,（What a great anniversary! !）,（What a great anniversary! !）,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.6892}",compound,0.6892
[] Bangladesh Prime Minister Sheikh Hasina is beyond doubt boldest & brightest leader by dint of her pragmatic dauntless monumental approach towards development super high way defying every short of stumbling blocks of home & abroad. [],[] Bangladesh Prime Minister Sheikh Hasina is beyond doubt boldest & brightest leader by dint of her pragmatic dauntless monumental approach towards development super high way defying every short of stumbling blocks of home & abroad. [],[] Bangladesh Prime Minister Sheikh Hasina is beyond doubt boldest & brightest leader by dint of her pragmatic dauntless monumental approach towards development super high way defying every short of stumbling blocks of home & abroad. [],"{'neg': 0.089, 'neu': 0.63, 'pos': 0.28, 'compound': 0.886}",compound,0.886
[] Sheikh Hasina has bigger fish to fry and it's a hot button for the opposition. [] সক্ষমতার আরেক দৃষ্টান্ত,[] Sheikh Hasina has bigger fish to fry and it's a hot button for the opposition. [] Another example of ability,[] Sheikh Hasina has bigger fish to fry and it's a hot button for the opposition. [] Another example of ability,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}",neu,0.897
৫-১০ মিনিট পরে পরে ট্রেন আছে...,After 3-5 minutes there are train ...,After 3-5 minutes there are train ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
ভাড়া ৪০/- আর সকল ৮ টা থেকে চলে..,The rent is 1/- and all goes from 5pm ..,The rent is 1/- and all goes from 5pm ..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
thle kon kon jaiga theke train jai blben please....,Thle kon kon jaiga theke train jai blben please ....,Thle kon kon jaiga theke train jai blben please ....,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.3182}",neu,0.796
#অনেক_সুন্দর_ভিডিও,#Many_sunder_video,#Many_sunder_video,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
•• sounds well,•• sounds well,•• sounds well,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}",pos,0.512
°°,°°,°°,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
<<< আগারগাঁও-মতিঝিল: আপাতত খুলবে যে ৩টি স্টেশন | Metro Rail | Agargaon to Motijheel | Ekhon TV  >>>,<<< Agargaon-Motijheel: 1 station that will open now Metro Rail | Agargaon to Motijheel | Ekhon tv >>>,<<< Agargaon-Motijheel: 1 station that will open now Metro Rail | Agargaon to Motijheel | Ekhon tv >>>,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
<<< গড়ে ২৪ লাখ মানুষ ব্যবহার করে মেট্রোরেল | Dhaka Metro Rail | ATN News >>>,<<< Metrorail uses an average of 2 million people Dhaka Metro Rail | ATN NEWS >>>,<<< Metrorail uses an average of 2 million people Dhaka Metro Rail | ATN NEWS >>>,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
♥️👍,♥️👍,heart suitthumbs up,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
♥Happy New Year 2023!♥,♥Happy New Year 2023!♥,heart suitHappy New Year 2023!heart suit,"{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.6696}",compound,0.6696
🇧🇩🇧🇩 ধন্যবাদ তথ্য ভিত্তিক সুন্দর ও পরিচ্ছন্ন একটি ভিডিও রিপোর্টের জন্য! 🇧🇩🇧🇩,🇧🇩🇧🇩 Thanks for a beautiful and clean video report based on information! 🇧🇩🇧🇩,flag: Bangladeshflag: Bangladesh Thanks for a beautiful and clean video report based on information! flag: Bangladeshflag: Bangladesh,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.8687}",compound,0.8687
🇧🇩🇧🇩 যেহেতু মেট্রোরেল ব্যাবস্থাটি বাংলাদেশে নূতন। তাই আগারগাঁও ও উত্তরা উভয় দিকেই   টিকিটিং ব্যাবস্থা সম্পর্কে মাইকে প্রয়োজনিয় তথ্য  জানানো উচিৎ! যেমন ফ্যামিলির সকলকে টিকিটের জন্য দাঁড়ানোর প্রয়োজন নেই। বরং যেকোনো একজন গিয়ে পরিবারের পাঁচজনের পর্যন্ত টিকিট সংগ্রহ করতে পারবেন! দুভাবে এটা সংগ্রহ করা যাবে যেমন মেসিনে নিজে নিজে। অথবা ম্যানুয়ালি বুতে গিয়ে দায়িত্বে থাকা লোককে  বলতে হবে আমাকে টিকিট দিন!🇧🇩🇧🇩,"🇧🇩🇧🇩 Since the Metrorail system is new in Bangladesh. So Agargaon and Uttara should tell Mike about the ticketing system on both sides! For example, not everyone in the family needs to stand for a ticket. Rather, one can go to any one of the family's five tickets! It can be collected in two ways, such as in Messin itself. Or the man in charge of the man in manually give me a ticket! 🇧🇩🇧🇩","flag: Bangladeshflag: Bangladesh Since the Metrorail system is new in Bangladesh. So Agargaon and Uttara should tell Mike about the ticketing system on both sides! For example, not everyone in the family needs to stand for a ticket. Rather, one can go to any one of the family's five tickets! It can be collected in two ways, such as in Messin itself. Or the man in charge of the man in manually give me a ticket! flag: Bangladeshflag: Bangladesh","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩👍👍👍👍👍🤲🤲🤲,🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩👍👍👍👍👍🤲🤲🤲,flag: Bangladeshflag: Bangladeshflag: Bangladeshflag: Bangladeshflag: Bangladeshthumbs upthumbs upthumbs upthumbs upthumbs uppalms up togetherpalms up togetherpalms up together,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
🇧🇩✌️,🇧🇩✌️,flag: Bangladeshvictory hand,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",pos,0.615
🇧🇩❤️,🇧🇩❤️,flag: Bangladeshred heart,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
🇧🇩💖💗,🇧🇩💖💗,flag: Bangladeshsparkling heartgrowing heart,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",compound,0.6369
🇧🇩💗,🇧🇩💗,flag: Bangladeshgrowing heart,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
🇧🇩জয়বাংলা🇧🇩,Joybangla,Joybangla,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
🇮🇳1984Calcutta Metro started now Bangladesh has started it felt good,🇮🇳1984Calcutta Metro started now Bangladesh has started it felt good,flag: India1984Calcutta Metro started now Bangladesh has started it felt good,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",neu,0.775
🇰🇷থেকে দেখছি 🇧🇩দেশের এই ধরনের স্টেশন এবং ট্রেন দেখে খুব ভালো লাগলো,It was nice to see this kind of station and train in the country,It was nice to see this kind of station and train in the country,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",neu,0.823
🇲🇾❤🇧🇩,🇲🇾❤🇧🇩,flag: Malaysiared heartflag: Bangladesh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
✌✌,✌✌,victory handvictory hand,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",pos,0.615
❤,❤,red heart,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",pos,0.808
❤ history of Bangladesh,❤ history of Bangladesh,red heart history of Bangladesh,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",compound,0.6369
❤ Love to both of you. You guys are excellent.,❤ Love to both of you. You guys are excellent.,red heart Love to both of you. You guys are excellent.,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.9201}",compound,0.9201
❤️🇧🇩🇩🇪,❤️🇧🇩🇩🇪,red heartflag: Bangladeshflag: Germany,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
❤🇧🇩🤲🇧🇩 মাশাআল্লাহ,🇧🇩🤲🇧🇩 Masha Allah,flag: Bangladeshpalms up togetherflag: Bangladesh Masha Allah,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
❤❤,❤❤,red heartred heart,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
❤❤❤,❤❤❤,red heartred heartred heart,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",compound,0.6369
❤❤❤ Hat's offf  Hasina,🙏 h Hat's offf Hasina,folded hands h Hat's offf Hasina,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
❤❤❤❤,❤❤❤❤,red heartred heartred heartred heart,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",compound,0.6369
❤❤❤❤❤,❤❤❤❤❤,red heartred heartred heartred heartred heart,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",compound,0.6369
❤❤❤❤❤❤,❤❤❤❤❤❤,red heartred heartred heartred heartred heartred heart,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",compound,0.6369
❤❤❤❤❤❤❤❤❤❤,❤❤❤❤❤❤❤❤❤❤,red heartred heartred heartred heartred heartred heartred heartred heartred heartred heart,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",neu,0.704
❤❤❤❤🎉🎉🎉🎉,❤❤❤❤🎉🎉🎉🎉,red heartred heartred heartred heartparty popperparty popperparty popperparty popper,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
❤❤🤍🤍🖤🖤,❤❤🤍🤍🖤🖤,red heartred heartwhite heartwhite heartblack heartblack heart,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",compound,0.6369
❤❤হাজারীবাগ লালবাগ মোহাম্মদপুর এলাকার মেট্ররেইল কবে কাজ চালু হবে। একটি ভিডিও চাই?❤❤❤❤❤,When the Metrorail of Lalbagh Mohammadpur area will be launched in Ahazaribagh. Want a video?,When the Metrorail of Lalbagh Mohammadpur area will be launched in Ahazaribagh. Want a video?,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.2023}",neu,0.823
❤🎉,❤🎉,red heartparty popper,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
❤🔥,❤🔥,red heartfire,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
❤️‍🔥❤️‍🔥.,❤️‍🔥❤️‍🔥.,heart on fireheart on fire.,"{'neg': 0.25, 'neu': 0.312, 'pos': 0.438, 'compound': 0.4215}",pos,0.438
❤fan দিলে ভালোহয়,It is good,It is good,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",pos,0.592
❤টি এস সি আগে খুলে দিলে ভালোহয় ❤❤,It is good to open the SC first,It is good to open the SC first,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",neu,0.707
❤পূরানঢাকার মেট্রোরেইল আগে চালুকরলে ভালোহয় ❤,The Metrorail of the Pujalanaka is good to operate before,The Metrorail of the Pujalanaka is good to operate before,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",neu,0.756
❤মতিঝিল যাওয়ার জন্য অপেক্ষা আছি❤,I am waiting to go to Emtijheel,I am waiting to go to Emtijheel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
❤সত্যিই অসাধারণ। ধন্যবাদ,It is extraordinary. Thank you,It is extraordinary. Thank you,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",neu,0.615
🌳 Gatch onek ke te fel ta hobe ✂️,🌳 gatch onek ke te fel ta hobe ✂,deciduous tree gatch onek ke te fel ta hobe scissors,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
🍎🍎😇 সুস্থ্য থাকার প্রথম শর্ত হচ্ছে নিজেকে সুস্থ্য রাখার মানসিকতা গড়ে তোলা 🤔,🍎🍎😇 The first condition to stay healthy is to develop the mentality of keeping yourself healthy.,red applered applesmiling face with halo The first condition to stay healthy is to develop the mentality of keeping yourself healthy.,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6597}",neu,0.779
🎉🎉🎉🎉🎉,🎉🎉🎉🎉🎉,party popperparty popperparty popperparty popperparty popper,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",neu,0.649
🎉🎉🎉🎉🎉🎉❤❤❤❤❤,🎉🎉🎉🎉🎉🎉❤❤❤❤❤,party popperparty popperparty popperparty popperparty popperparty popperred heartred heartred heartred heartred heart,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7845}",compound,0.7845
👌👌👌👌👌👌👌👌👌👌👌👌👌👌,👌👌👌👌👌👌👌👌👌👌👌👌👌👌,OK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK handOK hand,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.7297}",compound,0.7297
👍👍🇧🇩,👍👍🇧🇩,thumbs upthumbs upflag: Bangladesh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
👍😊,👍😊,thumbs upsmiling face with smiling eyes,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}",neu,0.625
💚❤️,💚❤️,green heartred heart,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
💚❤️!,💚❤️!,green heartred heart!,"{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.6696}",pos,0.692
🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,woman facepalming: medium-light skin tonewoman facepalming: medium-light skin tonewoman facepalming: medium-light skin tone,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
🤨,🤨,face with raised eyebrow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
🤩🤩,🤩🤩,star-struckstar-struck,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
🥰🥰,🥰🥰,smiling face with heartssmiling face with hearts,"{'neg': 0.0, 'neu': 0.407, 'pos': 0.593, 'compound': 0.8074}",compound,0.8074
🥰🥰🥰🥰🥰,🥰🥰🥰🥰🥰,smiling face with heartssmiling face with heartssmiling face with heartssmiling face with heartssmiling face with hearts,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.8074}",compound,0.8074
😂😂😂,😂😂😂,face with tears of joyface with tears of joyface with tears of joy,"{'neg': 0.308, 'neu': 0.486, 'pos': 0.205, 'compound': 0.0258}",neu,0.486
😂😂😂😂😂পৃথিবির বোকে একটা মাএ মেট্রুরেল সেটাও আবার বাংলা দেশে 😂😂😂😂।,A Maa Metrorail in the Earth Bowk is again in Bangla country.,A Maa Metrorail in the Earth Bowk is again in Bangla country.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
😍😍😍,😍😍😍,smiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyes,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}",neu,0.75
🙏🙏🙏🇹🇭🇹🇭,🙏🙏🙏🇹🇭🇹🇭,folded handsfolded handsfolded handsflag: Thailandflag: Thailand,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
03:57 দুই কক্কুর চুলের কালার তো অসাধারণ আমি বলতে কে কে খেল করছেন।,03:57 The color of the hair of the two kakkur is wonderful I am playing who is playing.,03:57 The color of the hair of the two kakkur is wonderful I am playing who is playing.,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.743}",compound,0.743
1 tahun 2 tahun keretanya akan jadi seperti sampah,1 year 2 years of car will be like trash,1 year 2 years of car will be like trash,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",neu,0.783
১ মেট্রোরেল ১ প্রধানমন্ত্রী  ১৪ বার উদ্বোধন,1 Metrorail 3 Prime Minister 3 times inaugurate,1 Metrorail 3 Prime Minister 3 times inaugurate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
10 replies,10 replies,10 replies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
10 ta kora uchit privet sector 8 tai bondho hoi tahole sei jatrira subidha peto.,10 Ta Kora Uchit Privet Sector 8 Tai Bondho Hoi Hoi Tahole Sei Jatrira Subidha Peto.,10 Ta Kora Uchit Privet Sector 8 Tai Bondho Hoi Hoi Tahole Sei Jatrira Subidha Peto.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
১০ মিনিট এর যাত্রার জন্য প্রতিদিন ৪০ মিনিট দাড়ায়া থাকতে হয়।,You have to stay 5 minutes every day for 5 minutes.,You have to stay 5 minutes every day for 5 minutes.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
10 মিনিট পর পর ট্রেন আছে এখানে আবার এসেছি দরকার,10 minutes after the train is here to come back here again,10 minutes after the train is here to come back here again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
১০/১২ বিলিয়ন খরচ হবে নাকি গাইস?🤣,It will cost 1/12 billion or gice? 🤣,It will cost 1/12 billion or gice? rolling on the floor laughing,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4939}",neu,0.775
১০০ বছর লাগবে 😂,It will take 3 years,It will take 3 years,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
1000 taka Street Haircut In Dhaka:,1000 taka Street Haircut In Dhaka:,1000 taka Street Haircut In Dhaka:,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
10年ほど前、私たちの会社にバングラディシュからインターンシップに来られた学生がいました。非常に頭の良い人だったと印象に残っています。,"About 10 years ago, there was a student in our company who came to the internship from Bangladish. I am impressed that he was a very smart person.","About 10 years ago, there was a student in our company who came to the internship from Bangladish. I am impressed that he was a very smart person.","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.7264}",neu,0.81
১৬ কোটির দেশে এই টাইপের মেট্রোরেল পুকুরের ভিতর থেকে ১ বালতি পানি অপসারন মাত্র।,"In the country of 1 crore, the bucket of water is just removed from the Metrorail pond of this type.","In the country of 1 crore, the bucket of water is just removed from the Metrorail pond of this type.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
16hours kora uchit,16hours kora uchit,16hours kora uchit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
1ST FALL IN LOVE  METRO RAIL >REST HISTORY GOING ON,1ST FALL IN LOVE  METRO RAIL >REST HISTORY GOING ON,1ST FALL IN LOVE  METRO RAIL >REST HISTORY GOING ON,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",neu,0.682
২ ফোটা জ্যামও তো কমলো না,2 drops jam too,2 drops jam too,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
2:17 মেট্রোরেল নাকি ১০০০ টাকার নোট রিডিং করতে পারে না!!! তাহলে টিকিট কীভাবে দিল???,2:17 Metrorail or can't read 5 rupee notes !!! So how did you give the ticket ???,2:17 Metrorail or can't read 5 rupee notes !!! So how did you give the ticket ???,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
20 replies,20 replies,20 replies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
20 tk diya jototuk jawa jay toto tuk ki jete parbo ekhon,20 tk diya jototuk jawa jay to tuk tuk ki jte parbo ekhon,20 tk diya jototuk jawa jay to tuk tuk ki jte parbo ekhon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
২০ বিশ কিলোমিটার রাস্তায় 14 টা স্টেশন। হাস্যকর,Twenty -two kilometers on the street 14 stations. Ridiculous,Twenty -two kilometers on the street 14 stations. Ridiculous,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.3612}",neu,0.762
2024 toh chaina japan loan er interest newa suru korbe. Resurb sunno. Dollar rat high. Takar obomullaon. Er theke vhalo chilo shikha chikissa chakri bazar barano. Durniti jekhane kora jabe se khane goriber taka sradho. Remitance jodha der taka dea kora,2024 toh chaina japan loan erant newa suru korbe. Resurb sunno. Dollar Rat High. Takar Obomullaon. Er Theke Vhaloo Chilo Shikha Chikissa Chakri Bazar Barano. Durniti jekhane kora jabe se khane goriber taka sradho. Remitance Jodha deer taka dea kora,2024 toh chaina japan loan erant newa suru korbe. Resurb sunno. Dollar Rat High. Takar Obomullaon. Er Theke Vhaloo Chilo Shikha Chikissa Chakri Bazar Barano. Durniti jekhane kora jabe se khane goriber taka sradho. Remitance Jodha deer taka dea kora,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
2030 mane 2036 hobe r ki  ei deshe .,2030 Mane 2036 hobe r ki ei deshe.,2030 Mane 2036 hobe r ki ei deshe.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
২০৩৫ সালেও শেষ হবে না কাজ 😂,Work will not be completed in 20,Work will not be completed in 20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
2040 er moddhe Dhaka k modern city te dekhe jete chay,2040 er moddhe dhaka k modern city te dekhe jte chay,2040 er moddhe dhaka k modern city te dekhe jte chay,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
2045  saleo kaj  shas koira  banijjek  Rell  cholate parbena,2045 Saleo Kaj Shas Koira Banijjek Rel Cholate Parbena,2045 Saleo Kaj Shas Koira Banijjek Rel Cholate Parbena,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
21 replies,21 replies,21 replies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
22 hours ago,22 hours ago,22 hours ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
23 replies,23 replies,23 replies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
২৪ ঘন্টা চালো কারা উচিত ছিল,Who should have been 24 hours to run,Who should have been 24 hours to run,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
৩০০ ফিট সায়দাবাদ হতে বাঞ্ছারামপুর মুরাদনগর একটা পাবলিক ট্রন্সপোর্ট  লাইন নাই😢😢😢।💔,1 Ft Saidabad from Bancharampur Muradnagar is not a public transport line.,1 Ft Saidabad from Bancharampur Muradnagar is not a public transport line.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
300ft abrr vangga hobe aytai vabtesii ..,300ft abrr vangga hobe aytai vabtesii ..,300ft abrr vangga hobe aytai vabtesii ..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
3d class gate এরকম gate থাকলে সব সময়ে security লাগবে,If there is a gate of 3D class gate it will always take security,If there is a gate of 3D class gate it will always take security,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.34}",neu,0.844
